emp_id,status,job_effective_date,base_salary,bonus
1,Active - Regular Exempt (Part-time),07/07/2013,59783,8787
2,Active - Regular Non-Exempt (Part-time),09/04/2015,51738,9389
3,Active - Regular Non-Exempt (Part-time),11/16/2012,52344,6479
4,Active - Regular Exempt (Full-time),05/16/2014,55490,8951
5,Active - Regular Exempt (Part-time),05/09/2015,53260,2478
6,Inactive,03/13/2014,54535,4228
7,Active - Regular Non-Exempt (Part-time),02/06/2013,51620,1113
8,Active - Regular Exempt (Part-time),05/04/2015,51681,8108
9,Active - Regular Non-Exempt (Part-time),11/26/2012,58201,9588
10,Active - Regular Non-Exempt (Full-time),12/17/2015,53077,1138
11,Active - Regular Exempt (Part-time),05/30/2015,51475,8220
12,Active - Regular Non-Exempt (Part-time),10/06/2014,50405,5789
13,Active - Regular Exempt (Part-time),01/02/2015,57376,9014
14,Inactive,10/15/2013,51658,4399
15,Active - Regular Non-Exempt (Full-time),01/18/2014,57231,7067
16,Active - Regular Non-Exempt (Full-time),04/21/2014,59151,3509
17,Active - Regular Non-Exempt (Full-time),02/02/2014,57898,5060
18,Active - Regular Exempt (Full-time),04/07/2015,56578,7544
19,Active - Regular Non-Exempt (Full-time),10/25/2013,56607,5316
20,Active - Regular Non-Exempt (Part-time),09/21/2013,59581,4223
21,Active - Regular Non-Exempt (Part-time),01/19/2013,56527,1788
22,Active - Regular Non-Exempt (Full-time),02/02/2015,50646,3064
23,Inactive,01/16/2014,57464,8710
24,Active - Regular Exempt (Full-time),03/07/2015,54252,8951
25,Active - Regular Exempt (Part-time),05/07/2013,58898,1062
26,Active - Regular Non-Exempt (Part-time),06/22/2015,59401,4298
27,Inactive,08/10/2014,56402,4394
28,Active - Regular Exempt (Full-time),06/14/2014,52806,3518
29,Active - Regular Non-Exempt (Part-time),10/15/2014,58091,8733
30,Active - Regular Exempt (Full-time),04/24/2014,53104,9354
31,Active - Regular Non-Exempt (Part-time),06/21/2014,56692,3304
32,Inactive,01/29/2015,54479,8579
33,Active - Regular Exempt (Part-time),02/24/2015,57792,3840
34,Active - Regular Non-Exempt (Full-time),04/23/2015,54992,8140
35,Active - Regular Non-Exempt (Part-time),09/10/2014,53359,5380
36,Inactive,12/03/2014,57487,3849
37,Active - Regular Non-Exempt (Full-time),10/16/2013,59569,5247
38,Active - Regular Exempt (Full-time),03/07/2013,59811,9890
39,Active - Regular Exempt (Full-time),12/29/2013,58777,5611
40,Inactive,11/04/2014,59055,7270
41,Active - Regular Non-Exempt (Part-time),12/08/2013,50353,3331
42,Inactive,06/19/2015,56978,5021
43,Active - Regular Non-Exempt (Part-time),11/09/2015,58032,3855
44,Active - Regular Exempt (Full-time),10/16/2015,50913,1775
45,Inactive,06/01/2013,57703,5452
46,Active - Regular Exempt (Full-time),03/01/2013,54586,5982
47,Active - Regular Non-Exempt (Part-time),12/29/2014,53645,5636
48,Active - Regular Exempt (Part-time),12/24/2012,57253,1988
49,Active - Regular Exempt (Part-time),03/20/2015,53807,6636
50,Active - Regular Non-Exempt (Full-time),10/04/2013,58808,8147
51,Active - Regular Exempt (Full-time),11/28/2014,50261,4687
52,Active - Regular Exempt (Full-time),07/22/2014,50915,9770
53,Active - Regular Non-Exempt (Part-time),06/02/2013,55813,2875
54,Active - Regular Non-Exempt (Full-time),12/04/2013,52852,3402
55,Inactive,05/31/2014,56953,3455
56,Inactive,12/03/2014,54365,6585
57,Inactive,09/21/2015,56471,7001
58,Inactive,07/24/2015,58851,9514
59,Active - Regular Non-Exempt (Part-time),02/22/2015,55108,3151
60,Active - Regular Non-Exempt (Part-time),10/02/2013,55091,4349
61,Active - Regular Non-Exempt (Part-time),04/12/2014,52399,2302
62,Active - Regular Exempt (Full-time),11/23/2012,56646,8169
63,Inactive,02/10/2013,56307,3689
64,Inactive,04/24/2013,52922,3595
65,Active - Regular Exempt (Part-time),08/09/2015,55058,2097
66,Active - Regular Non-Exempt (Full-time),12/07/2014,58622,4011
67,Active - Regular Non-Exempt (Part-time),07/27/2014,59058,7209
68,Inactive,05/08/2015,57633,5376
69,Active - Regular Exempt (Part-time),01/04/2013,55569,7497
70,Inactive,03/31/2015,54172,5490
71,Active - Regular Non-Exempt (Part-time),05/04/2014,55827,9396
72,Inactive,11/24/2015,53875,6504
73,Inactive,08/11/2015,57994,4985
74,Active - Regular Non-Exempt (Part-time),05/11/2015,56309,8692
75,Inactive,08/22/2015,53209,4749
76,Active - Regular Non-Exempt (Part-time),06/04/2014,51334,7837
77,Active - Regular Non-Exempt (Full-time),07/19/2013,52144,2997
78,Active - Regular Non-Exempt (Part-time),02/15/2015,52397,9698
79,Active - Regular Exempt (Full-time),12/13/2012,50201,6615
80,Active - Regular Non-Exempt (Full-time),11/16/2014,52900,3917
81,Inactive,06/17/2015,51474,2616
82,Active - Regular Exempt (Part-time),07/01/2014,57662,7114
83,Inactive,07/03/2015,54169,1042
84,Inactive,05/08/2014,53018,3848
85,Active - Regular Exempt (Full-time),04/12/2013,56423,5293
86,Inactive,08/22/2013,55363,3601
87,Active - Regular Exempt (Part-time),03/13/2015,57517,8457
88,Active - Regular Non-Exempt (Full-time),10/18/2013,55248,6389
89,Active - Regular Exempt (Full-time),11/09/2013,53149,6551
90,Inactive,12/19/2014,56848,8699
91,Active - Regular Non-Exempt (Full-time),08/05/2013,57929,2586
92,Active - Regular Exempt (Full-time),03/20/2015,51237,3422
93,Inactive,02/01/2015,50902,3132
94,Active - Regular Non-Exempt (Part-time),06/12/2015,53296,4624
95,Inactive,11/24/2012,52008,8388
96,Active - Regular Non-Exempt (Full-time),12/21/2015,58679,2748
97,Active - Regular Exempt (Full-time),09/22/2015,52065,8493
98,Active - Regular Non-Exempt (Full-time),04/02/2014,57908,4814
99,Active - Regular Non-Exempt (Full-time),12/22/2012,54900,4683
100,Active - Regular Exempt (Full-time),04/13/2013,55766,6382
101,Active - Regular Exempt (Part-time),09/30/2014,50470,7057
102,Active - Regular Non-Exempt (Part-time),03/04/2015,55610,4928
103,Active - Regular Exempt (Full-time),11/29/2015,54609,7828
104,Active - Regular Non-Exempt (Part-time),03/05/2013,50051,5473
105,Active - Regular Non-Exempt (Full-time),06/26/2013,52766,3729
106,Active - Regular Exempt (Part-time),04/08/2014,51899,6766
107,Active - Regular Exempt (Full-time),08/24/2015,54165,4627
108,Active - Regular Exempt (Full-time),11/17/2015,53935,6914
109,Inactive,07/13/2015,57476,7968
110,Inactive,01/01/2014,53503,3633
111,Active - Regular Exempt (Part-time),06/29/2015,51684,9220
112,Inactive,02/11/2014,56796,1315
113,Active - Regular Exempt (Part-time),12/09/2013,55369,4139
114,Active - Regular Non-Exempt (Part-time),10/28/2014,53120,7525
115,Active - Regular Exempt (Part-time),12/29/2013,52131,2830
116,Active - Regular Exempt (Full-time),01/27/2014,54914,5535
117,Inactive,10/08/2013,59751,1004
118,Inactive,06/12/2015,55279,9108
119,Inactive,11/30/2013,52075,1864
120,Active - Regular Exempt (Full-time),07/01/2014,55870,3440
121,Active - Regular Exempt (Part-time),01/24/2014,59249,2812
122,Inactive,12/20/2012,57759,9312
123,Active - Regular Non-Exempt (Part-time),01/22/2015,51016,2661
124,Inactive,03/03/2014,50353,8991
125,Active - Regular Non-Exempt (Part-time),01/09/2013,50817,9811
126,Active - Regular Non-Exempt (Part-time),05/26/2013,51993,2472
127,Active - Regular Exempt (Part-time),02/13/2015,58141,1749
128,Active - Regular Non-Exempt (Part-time),11/03/2013,50478,1973
129,Active - Regular Non-Exempt (Part-time),12/26/2013,51144,9565
130,Active - Regular Exempt (Part-time),01/25/2014,57036,1669
131,Active - Regular Non-Exempt (Part-time),01/12/2015,59987,4884
132,Inactive,08/29/2013,58944,6522
133,Inactive,11/30/2013,54959,1897
134,Active - Regular Non-Exempt (Part-time),05/09/2013,56283,8474
135,Active - Regular Non-Exempt (Full-time),11/04/2013,53162,8459
136,Active - Regular Non-Exempt (Full-time),11/09/2014,57047,4779
137,Inactive,02/20/2015,59528,5236
138,Active - Regular Exempt (Full-time),12/07/2014,58464,5193
139,Active - Regular Exempt (Full-time),01/31/2014,58627,5076
140,Active - Regular Non-Exempt (Part-time),12/30/2012,53918,9480
141,Active - Regular Non-Exempt (Part-time),06/10/2013,50915,6133
142,Inactive,11/13/2015,50852,8909
143,Active - Regular Non-Exempt (Full-time),09/18/2015,59783,2353
144,Active - Regular Exempt (Full-time),02/18/2013,53966,2481
145,Active - Regular Exempt (Full-time),04/12/2013,55350,8280
146,Active - Regular Non-Exempt (Full-time),05/11/2014,58889,6548
147,Active - Regular Non-Exempt (Part-time),11/05/2015,51132,5563
148,Active - Regular Non-Exempt (Full-time),12/07/2012,59191,8868
149,Active - Regular Non-Exempt (Full-time),09/29/2014,59566,1712
150,Active - Regular Exempt (Full-time),03/20/2013,56599,9446
151,Inactive,03/13/2015,54429,1785
152,Active - Regular Non-Exempt (Part-time),07/02/2015,55639,2669
153,Active - Regular Non-Exempt (Full-time),06/22/2015,57766,6483
154,Active - Regular Exempt (Part-time),08/29/2014,59528,9987
155,Active - Regular Non-Exempt (Part-time),03/01/2015,52458,2630
156,Active - Regular Non-Exempt (Full-time),04/20/2013,56625,9229
157,Active - Regular Non-Exempt (Full-time),02/25/2015,57818,6269
158,Inactive,09/11/2014,54705,7451
159,Active - Regular Exempt (Part-time),06/09/2013,52320,1882
160,Active - Regular Exempt (Full-time),07/15/2013,52821,1403
161,Active - Regular Exempt (Part-time),12/11/2015,50315,1756
162,Active - Regular Non-Exempt (Full-time),05/30/2014,59247,8977
163,Active - Regular Non-Exempt (Full-time),01/02/2015,50600,9885
164,Active - Regular Non-Exempt (Full-time),11/22/2012,51398,8349
165,Active - Regular Non-Exempt (Part-time),04/05/2014,54008,6601
166,Active - Regular Non-Exempt (Part-time),01/17/2014,59364,4227
167,Active - Regular Non-Exempt (Full-time),09/19/2014,58982,4688
168,Active - Regular Non-Exempt (Full-time),04/19/2015,52875,5844
169,Inactive,09/16/2014,51688,7498
170,Inactive,05/02/2014,51704,8675
171,Active - Regular Non-Exempt (Full-time),08/31/2014,57105,3359
172,Inactive,12/23/2013,56109,2755
173,Active - Regular Exempt (Part-time),09/25/2014,52058,1727
174,Active - Regular Exempt (Part-time),10/18/2015,56236,4206
175,Active - Regular Non-Exempt (Part-time),01/23/2015,59935,8532
176,Active - Regular Exempt (Part-time),07/15/2015,59113,8939
177,Active - Regular Exempt (Part-time),06/18/2013,55886,8304
178,Active - Regular Non-Exempt (Part-time),09/11/2014,57149,7923
179,Active - Regular Exempt (Full-time),05/31/2015,54980,8324
180,Inactive,07/01/2013,57630,1072
181,Active - Regular Exempt (Part-time),02/27/2013,51073,7907
182,Active - Regular Exempt (Part-time),05/31/2015,51884,2949
183,Active - Regular Exempt (Part-time),08/17/2013,55209,7571
184,Active - Regular Exempt (Part-time),06/04/2013,52979,5107
185,Active - Regular Non-Exempt (Full-time),04/23/2014,54394,1679
186,Active - Regular Non-Exempt (Full-time),12/22/2014,54404,7250
187,Active - Regular Non-Exempt (Full-time),10/08/2013,59367,9903
188,Active - Regular Exempt (Part-time),08/23/2014,57287,9285
189,Active - Regular Non-Exempt (Full-time),07/09/2015,55341,6419
190,Active - Regular Exempt (Full-time),10/11/2014,57515,5419
191,Active - Regular Exempt (Full-time),12/27/2012,57880,6130
192,Active - Regular Non-Exempt (Full-time),10/15/2015,55769,6483
193,Active - Regular Non-Exempt (Full-time),08/14/2013,52027,9584
194,Active - Regular Exempt (Full-time),03/25/2015,59363,6509
195,Active - Regular Exempt (Part-time),10/04/2015,55448,5671
196,Inactive,09/02/2013,54971,4530
197,Active - Regular Non-Exempt (Part-time),08/13/2013,55309,2580
198,Active - Regular Non-Exempt (Part-time),01/13/2014,54623,7187
199,Active - Regular Exempt (Full-time),02/14/2014,59220,8526
200,Active - Regular Non-Exempt (Full-time),11/17/2015,55376,4278
201,Active - Regular Non-Exempt (Full-time),05/01/2013,53766,7471
202,Active - Regular Non-Exempt (Full-time),12/26/2014,52561,5583
203,Inactive,08/29/2013,53468,2742
204,Active - Regular Non-Exempt (Full-time),05/22/2014,50171,6065
205,Inactive,07/06/2014,59793,7183
206,Inactive,10/01/2013,59160,4186
207,Inactive,03/19/2015,59832,3706
208,Active - Regular Non-Exempt (Part-time),11/27/2014,57301,3754
209,Active - Regular Non-Exempt (Full-time),05/01/2015,54074,2019
210,Active - Regular Exempt (Full-time),02/09/2013,52247,9072
211,Inactive,05/16/2013,50213,4062
212,Active - Regular Non-Exempt (Part-time),09/02/2013,59962,4766
213,Active - Regular Non-Exempt (Full-time),09/05/2015,55312,1241
214,Active - Regular Non-Exempt (Part-time),08/26/2015,53550,9108
215,Active - Regular Exempt (Full-time),08/03/2015,51272,5046
216,Active - Regular Non-Exempt (Part-time),07/16/2013,54599,2128
217,Active - Regular Non-Exempt (Part-time),12/19/2013,55696,6620
218,Active - Regular Exempt (Full-time),12/15/2014,55917,7172
219,Active - Regular Exempt (Full-time),04/25/2015,57945,5449
220,Active - Regular Exempt (Full-time),10/13/2014,55058,5350
221,Active - Regular Non-Exempt (Part-time),09/09/2015,56955,7745
222,Active - Regular Exempt (Part-time),03/09/2015,50173,2587
223,Active - Regular Non-Exempt (Full-time),11/22/2014,57520,1409
224,Active - Regular Exempt (Part-time),11/18/2014,50935,2352
225,Active - Regular Non-Exempt (Part-time),02/01/2014,59180,4559
226,Active - Regular Exempt (Full-time),07/28/2014,55093,5670
227,Active - Regular Exempt (Part-time),07/08/2015,57422,9655
228,Active - Regular Exempt (Full-time),02/21/2015,50366,3356
229,Active - Regular Non-Exempt (Full-time),08/23/2013,55480,7653
230,Active - Regular Exempt (Full-time),10/14/2015,57223,5838
231,Active - Regular Non-Exempt (Full-time),07/01/2013,52344,3653
232,Active - Regular Exempt (Full-time),06/21/2013,54725,4775
233,Active - Regular Non-Exempt (Full-time),09/14/2013,50307,2444
234,Active - Regular Exempt (Part-time),01/23/2014,54786,6696
235,Inactive,07/13/2014,57232,5446
236,Active - Regular Exempt (Full-time),09/20/2014,58012,5522
237,Inactive,02/27/2015,57714,1190
238,Active - Regular Exempt (Part-time),06/16/2013,55154,4107
239,Inactive,04/29/2014,50476,3075
240,Active - Regular Non-Exempt (Part-time),07/13/2014,53583,5433
241,Active - Regular Non-Exempt (Part-time),05/25/2015,57119,2806
242,Active - Regular Exempt (Full-time),03/05/2013,58272,5277
243,Inactive,09/11/2014,51839,2837
244,Active - Regular Non-Exempt (Full-time),05/04/2015,58477,8590
245,Active - Regular Non-Exempt (Part-time),02/12/2015,51220,2692
246,Active - Regular Non-Exempt (Full-time),11/05/2014,54630,8671
247,Inactive,04/11/2015,51120,1652
248,Inactive,07/09/2015,50249,7698
249,Inactive,04/18/2015,52147,3145
250,Active - Regular Exempt (Part-time),08/23/2013,53176,9804
251,Active - Regular Non-Exempt (Full-time),02/20/2015,57146,2631
252,Active - Regular Non-Exempt (Part-time),02/23/2013,54346,1697
253,Active - Regular Non-Exempt (Part-time),07/08/2014,57117,3686
254,Inactive,01/08/2014,56103,5714
255,Inactive,05/12/2014,55187,9720
256,Active - Regular Exempt (Full-time),11/23/2013,56724,3236
257,Active - Regular Non-Exempt (Full-time),11/19/2015,57244,2014
258,Active - Regular Exempt (Part-time),11/07/2014,59189,1464
259,Active - Regular Exempt (Full-time),02/02/2015,56273,9712
260,Active - Regular Exempt (Full-time),10/25/2013,50452,2633
261,Active - Regular Non-Exempt (Full-time),06/20/2014,59792,4239
262,Active - Regular Non-Exempt (Part-time),09/25/2014,55049,6060
263,Active - Regular Exempt (Part-time),06/09/2014,51419,2606
264,Active - Regular Exempt (Full-time),04/28/2013,51879,7303
265,Active - Regular Non-Exempt (Part-time),11/09/2015,58029,1579
266,Active - Regular Exempt (Full-time),12/11/2013,56165,1911
267,Active - Regular Non-Exempt (Full-time),12/09/2012,59256,5380
268,Active - Regular Non-Exempt (Full-time),06/20/2014,51957,9517
269,Active - Regular Exempt (Full-time),08/15/2013,53505,9855
270,Active - Regular Exempt (Full-time),08/09/2014,55312,8202
271,Active - Regular Non-Exempt (Full-time),06/22/2015,58634,9295
272,Active - Regular Exempt (Part-time),10/11/2014,52151,4456
273,Inactive,09/17/2013,57037,8904
274,Inactive,11/18/2013,58558,3668
275,Active - Regular Exempt (Full-time),09/18/2014,57870,7296
276,Inactive,08/27/2015,56947,7014
277,Active - Regular Exempt (Full-time),04/24/2014,53829,4931
278,Active - Regular Non-Exempt (Part-time),08/03/2013,52353,2920
279,Inactive,04/29/2013,55109,4890
280,Active - Regular Non-Exempt (Part-time),07/08/2014,59549,5024
281,Active - Regular Exempt (Part-time),07/15/2015,50950,6805
282,Active - Regular Exempt (Full-time),04/22/2013,50237,9452
283,Active - Regular Non-Exempt (Part-time),09/06/2013,58154,7214
284,Active - Regular Exempt (Full-time),09/23/2015,50639,2683
285,Active - Regular Exempt (Full-time),02/12/2015,50651,5537
286,Inactive,12/15/2013,55584,2920
287,Active - Regular Exempt (Full-time),10/09/2014,53794,2266
288,Active - Regular Exempt (Part-time),02/10/2013,52780,8266
289,Active - Regular Exempt (Full-time),08/26/2013,57349,8361
290,Active - Regular Non-Exempt (Full-time),06/15/2013,51099,9725
291,Inactive,03/21/2014,51778,1043
292,Active - Regular Non-Exempt (Full-time),05/18/2013,57931,8763
293,Active - Regular Exempt (Part-time),01/24/2015,53638,5332
294,Active - Regular Exempt (Full-time),01/14/2014,51874,9508
295,Active - Regular Exempt (Part-time),07/25/2015,55335,6386
296,Inactive,01/26/2014,57380,1932
297,Active - Regular Non-Exempt (Part-time),01/04/2015,52785,4715
298,Active - Regular Exempt (Part-time),05/28/2013,56880,6529
299,Active - Regular Exempt (Part-time),11/29/2015,51128,3676
300,Active - Regular Exempt (Full-time),09/24/2013,52250,4308
301,Inactive,09/20/2013,54614,6322
302,Inactive,12/30/2014,50306,3493
303,Active - Regular Non-Exempt (Full-time),09/13/2014,52637,7342
304,Active - Regular Non-Exempt (Full-time),06/01/2015,58861,3269
305,Inactive,03/12/2014,52075,5830
306,Active - Regular Exempt (Full-time),08/15/2013,50050,1019
307,Inactive,09/22/2015,59365,2236
308,Active - Regular Exempt (Full-time),03/10/2015,55873,2764
309,Active - Regular Non-Exempt (Part-time),01/17/2015,52414,5751
310,Active - Regular Non-Exempt (Full-time),11/22/2014,58183,6951
311,Active - Regular Exempt (Full-time),01/24/2013,53145,3005
312,Active - Regular Exempt (Part-time),11/29/2013,55394,6532
313,Active - Regular Exempt (Full-time),11/06/2014,51757,7734
314,Active - Regular Exempt (Part-time),09/11/2013,51546,7687
315,Inactive,02/15/2014,54885,1040
316,Active - Regular Non-Exempt (Part-time),02/06/2014,50705,8569
317,Active - Regular Exempt (Full-time),12/16/2013,55563,1688
318,Inactive,05/28/2013,55717,8767
319,Active - Regular Exempt (Part-time),12/06/2015,56459,4583
320,Active - Regular Non-Exempt (Part-time),12/18/2013,56227,4127
321,Active - Regular Non-Exempt (Part-time),10/16/2013,57919,5631
322,Active - Regular Non-Exempt (Part-time),05/04/2013,54047,7297
323,Active - Regular Exempt (Full-time),10/31/2014,53271,9716
324,Active - Regular Exempt (Full-time),06/18/2014,56828,8016
325,Active - Regular Exempt (Part-time),08/12/2013,59670,9335
326,Active - Regular Exempt (Part-time),03/31/2015,54002,3091
327,Active - Regular Exempt (Full-time),09/07/2014,51262,9331
328,Active - Regular Exempt (Full-time),07/24/2015,56741,2026
329,Active - Regular Exempt (Part-time),09/05/2013,53077,8878
330,Active - Regular Exempt (Part-time),12/12/2015,57984,3836
331,Active - Regular Non-Exempt (Part-time),09/16/2015,58358,4965
332,Active - Regular Exempt (Part-time),11/15/2014,51378,1396
333,Inactive,06/17/2013,57112,2605
334,Inactive,12/31/2013,57089,7398
335,Active - Regular Non-Exempt (Part-time),05/10/2013,59639,3987
336,Inactive,02/04/2013,56437,5498
