game_id,SKU,title,price,description,years_active,publication_date,players,age_range,setup_time,playing_time,chance,category,has_extensions,has_accessories,has_apparel,popularity_tier,probability_apparel,probability_accessories,probability_extensions
1000192,160410725471,left foxglove,24.95,,0,2009,2–5 (6 w/expansion),,0,40 to 80 minutes,,Board Game|Strategy,False,False,False,4,0.1,0.1,0.1
1000155,195722202378,dynamic eyeball,15.0,,0,1986,2-4,,0,0,,Board Game,True,False,False,4,0.1,0.1,0.1
1000109,115153344249,white blade,8.99,,0,0,0,,5 minutes,15 to 60 minutes,,Board Game|Deduction,False,True,False,3,0.3,0.3,0.3
1000055,101591922267,different gallon,4.5,,0,0,2–7,,5–15 minutes,about 3 hours,Medium,Board Game,True,True,False,3,0.3,0.3,0.3
1000238,132304402752,golden clam,35.0,,0,0,2–4,,0,10 minutes,Medium,Board Game|Dexterity,False,True,True,1,1.0,1.0,1.0
1000150,186880256583,conceptual cobweb,35.0,,0,0,2–4,,10 minutes,60–120 minutes,some,Board Game,True,False,True,1,1.0,1.0,1.0
1000128,172916175812,filthy search,24.95,,0,0,3–5,,20 minutes,90–120 minutes,Medium,Board Game|Strategic thought,False,False,False,3,0.3,0.3,0.3
1000233,193519225127,russian great-grandmother,33.99,,0,0,2+ Players,,0,0,,Board Game,False,False,False,4,0.1,0.1,0.1
1000148,104553406468,original explanation,12.99,,0,0,0,,0,0,,Board Game,False,True,False,4,0.1,0.1,0.1
1000082,159929577929,reliable nephew,15.0,,0,0,2 to 6,,approx. 5 minutes,> 45 minutes,Card shuffling,Board Game|Bluffing,True,True,False,3,0.3,0.3,0.3
1000025,175211439308,safe constant,12.99,,0,0,2,,1 minute,40 minutes,None,Board Game|Strategic thought,False,False,True,1,1.0,1.0,1.0
1000258,167784852301,big steamroller,35.0,,0,0,3 to 6,,< 5 minutes,30 min-2hrs,Medium,Board Game|Team play,True,True,False,4,0.1,0.1,0.1
1000066,118675935929,stingy sharon,33.99,,since 1957,0,2–6,,5–15 minutes,1–8 hours,"Medium (5 dice, cards)",Board Game,False,True,False,4,0.1,0.1,0.1
1000268,184636131970,pleasant rainmaker,25.0,,1987-present,0,0,,0,0,,Board Game|Game system,False,False,False,3,0.3,0.3,0.3
1000153,164451986229,unwilling eave,4.5,,0,0,0,,0,0,,Board Game,False,False,False,4,0.1,0.1,0.1
1000079,118229850449,dull chairlift,25.0,,0,0,3 to 5,,0,45 minutes,,Board Game,False,False,False,4,0.1,0.1,0.1
1000076,141781173051,potential approval,15.0,,0,0,2 to 5,,5 minutes,45 minutes,Medium,Board Game|Planning,False,True,False,3,0.3,0.3,0.3
1000115,187282230672,exclusive typewriter,35.0,,0,0,2-4,,30 seconds,10-30 minutes,None,Board Game|Tactics,False,False,False,3,0.3,0.3,0.3
1000102,148979734999,unfair fact,8.99,,0,0,2–5 (6–8 with expansion),,1–5 minutes,30–90 minutes,Medium,Board Game|Tile-based,True,False,False,4,0.1,0.1,0.1
1000171,187071644897,olympic jot,35.0,,0,0,3 to 4 (5-6 with extension),,approx. 10 minutes,90+ minutes,Medium,Board Game,False,True,True,1,1.0,1.0,1.0
1000256,167958516470,inadequate faucet,19.99,,0,0,1 to 8,,30-60 minutes,120-240 minutes,Medium,Board Game|Cooperative gaming,False,False,False,4,0.1,0.1,0.1
1000095,109343951269,harsh yogurt,4.5,,0,0,2–4,,< 1 minute,20 - 30 minutes,None,Board Game|Strategic thought,False,False,False,4,0.1,0.1,0.1
1000244,185407492438,uncomfortable mechanic,35.0,,0,0,2–4,,5 minutes,30 min,None,Board Game|Manual dexterity,False,True,False,4,0.1,0.1,0.1
1000263,121259905065,puzzled sandra,12.99,,0,0,1 to 5,,5 minutes,45-60 minutes,,Board Game,False,False,False,2,0.75,0.75,0.75
1000003,144951251826,bitter command,8.99,,0,0,2–4,,< 1 minute,20 - 30 minutes,None,Board Game|Strategic thought,False,False,False,3,0.3,0.3,0.3
1000061,182893602000,global son,9.99,,0,0,0,,0,0,,Board Game,False,False,True,1,1.0,1.0,1.0
1000111,132362551004,alert doubling,10.0,,0,0,Recommended for at least 4; can be played by 2 or 3,,1-5 minutes,15-30 minutes,Low,Board Game|Language skills,False,False,False,3,0.3,0.3,0.3
1000072,101166955093,weird air,33.99,,0,0,2 to 6,,> 5 minutes,> 1 hour,Med,Board Game|Strategy,False,True,False,4,0.1,0.1,0.1
1000032,134937796642,classical golf,4.5,,1989—,0,2,,0,0,,Board Game,True,False,False,2,0.75,0.75,0.75
1000012,167337524450,smart edward,8.99,,0,0,"1 versus 1, plus an optional arbiter or referee",,2 to 3 minutes,30 to 120 minutes (player-dependent),Yes,Board Game,False,False,False,3,0.3,0.3,0.3
1000216,138812386935,soft bike,19.99,,0,0,1-6,,5 minutes,30 minutes per player,Goal and Event cards,Board Game,False,True,False,4,0.1,0.1,0.1
1000200,131841112651,gothic cuckoo,35.0,,0,0,2-5,,Approximately 5 minutes,20-45 minutes,None,Board Game|Tile placement,True,True,False,2,0.75,0.75,0.75
1000198,177920404963,distinctive philosophy,33.99,,0,0,2-6,,5-10 min.,60+ minutes,,Board Game,True,False,False,4,0.1,0.1,0.1
1000163,189648453939,violent eyelid,19.99,,0,0,2 to 6,,5-10 minutes,30-60 minutes,Low,Board Game|Planning,False,True,False,4,0.1,0.1,0.1
1000166,188160550480,dangerous bolero,4.5,,0,0,0,,10 min,45 min,Moderate,Board Game,False,True,False,4,0.1,0.1,0.1
1000058,188156753317,excellent indication,9.99,,0,0,2–4,,0,0,,Board Game,False,False,False,2,0.75,0.75,0.75
1000106,106455227436,petite nickel,9.99,,0,0,2 to 4,,0,15-25 minutes,,Board Game,False,False,False,4,0.1,0.1,0.1
1000130,177897644317,careful crack,24.95,,0,0,2-4,,< 5 minutes,1 hour,High,Board Game,False,True,False,3,0.3,0.3,0.3
1000231,143325197317,kind stock-in-trade,35.0,,0,1995,0,,approximately 8 minutes,1-4 hours,low-moderate,Board Game|Strategy,False,False,False,2,0.75,0.75,0.75
1000085,101897294018,wonderful footnote,25.0,,0,0,2–4,,5–15 minutes,Approximately 1.5–3 hours,,Board Game|Calculation,False,False,False,4,0.1,0.1,0.1
1000048,138479070674,isolated death,12.99,,0,0,2–6,,5 minutes,from 10 minutes to about 2 hours,,Board Game,False,False,False,4,0.1,0.1,0.1
1000020,141628768843,liberal spinach,8.99,,0,0,2,,2 minutes,30 minutes,Medium,Board Game|Strategic thought,False,False,True,1,1.0,1.0,1.0
1000190,108764708187,robust deathwatch,35.0,,0,2005,3–7,,0,60-90 minutes,,Board Game,True,False,False,2,0.75,0.75,0.75
1000042,124321090955,mysterious bugle,12.99,,0,1973,0,,0,0,,Board Game|Board game,False,False,False,3,0.3,0.3,0.3
1000213,127912011186,meaningful wedding,35.0,,2005,0,0,,0,6+ hours,,Board Game|Strategy,False,False,False,2,0.75,0.75,0.75
1000220,120334390616,busy eagle,4.5,,0,0,2–6,,10 minutes,60+ minutes,High,Board Game|Strategic thought,False,False,False,4,0.1,0.1,0.1
1000257,131625732236,metropolitan observation,4.5,,0,2008,Base game: 3-6 players (additional possible with certain expansions),,Base game: 10 minutes (+ 5 minutes with expansions),Base game: 120–240 minutes (first time could be double),Some,Board Game|Board game,False,True,False,2,0.75,0.75,0.75
1000046,115899657430,exact age,25.0,,0,0,3 to 6,,< 5 minutes,30 min-2hrs,Medium,Board Game|Team play,False,False,False,2,0.75,0.75,0.75
1000185,153336251294,orthodox sunroom,25.0,,0,0,2-6,,1-3 minutes,a little over 3 minutes per round,Low,Board Game,False,True,False,3,0.3,0.3,0.3
1000152,130640064374,armed insulation,8.99,,0,0,2-4,,1-5 minutes,15-30 minutes,Medium,Board Game|Memorisation,False,False,False,2,0.75,0.75,0.75
1000019,172490376023,tan broker,33.99,,0,0,2,,2 minutes,30 minutes,None,Board Game|Strategic thought,False,False,False,4,0.1,0.1,0.1
1000018,121093345394,wild genetics,15.0,,0,0,0,,0,0,,Board Game,False,False,False,2,0.75,0.75,0.75
1000193,123206535388,high brassiere,33.99,,0,0,2+,,Negligible,15–45 minutes,Entirely,Board Game,False,False,False,3,0.3,0.3,0.3
1000009,109568617984,damp stepmother,9.99,,First documented in 1800s. Fallen largely out of use by first half of 1900s.,0,2,,30 seconds - 1 minute,5–60 minutes,,Board Game,False,False,False,3,0.3,0.3,0.3
1000191,155661081707,unlikely shoe-horn,35.0,,0,0,0,,0,0,,Board Game,True,True,False,3,0.3,0.3,0.3
1000186,188313615578,intimate distribution,12.99,,0,0,At least 2 (can be played in teams),,5 minutes,30 to 45 minutes,Medium,Board Game,False,False,False,4,0.1,0.1,0.1
1000197,172591859143,gleaming trousers,4.5,,0,0,3–5,,0,90 minutes,,Board Game,True,False,False,4,0.1,0.1,0.1
1000129,138948775138,extensive ptarmigan,8.99,,0,0,0,,0,0,,Board Game,False,False,False,4,0.1,0.1,0.1
1000013,142256336352,petite jasmine,4.5,,0,0,2,,Minimal,0,None,Board Game,False,False,False,4,0.1,0.1,0.1
1000178,141606253740,permanent megalomaniac,4.5,,0,0,3 to 6,,0,0,,Board Game|Strategy,False,False,False,3,0.3,0.3,0.3
1000246,161793147487,environmental apse,12.99,,0,1995,0,,approximately 8 minutes,1-4 hours,low-moderate,Board Game|Strategy,False,True,False,4,0.1,0.1,0.1
1000015,181687026138,immense poison,25.0,,1942–present,0,2,,None,30 minutes – 2 hours (11×11 board),None,Board Game,True,False,False,4,0.1,0.1,0.1
1000228,101903123748,crazy dame,24.95,,0,0,2–5,,5–10 minutes,240 minutes,Medium,Board Game|Strategic thought,False,False,False,2,0.75,0.75,0.75
1000039,157789013108,elegant morning,10.0,,0,0,2,,< 1 minute,0,None,Board Game,False,True,False,4,0.1,0.1,0.1
1000154,152348612552,premier maestro,25.0,,1960 to present,0,2–4,,1–3 minutes,~30 minutes,,Board Game,True,False,False,3,0.3,0.3,0.3
1000121,168463702492,biological cartilage,15.0,,0,0,2-4,,1 minute,10 minutes/random,None,Board Game,True,False,False,3,0.3,0.3,0.3
1000107,176925017473,shy fleece,9.99,,0,0,2-7,,15 minutes,3–12 hours,Low,Board Game,True,False,False,3,0.3,0.3,0.3
1000010,188814001578,native foray,15.0,,0,0,2,,Negligible,30 minutes,None,Board Game,True,False,False,4,0.1,0.1,0.1
1000188,154738930694,wooden dhow,8.99,,0,0,2–4,,2–6 minutes,0,Medium (letters drawn),Board Game,False,False,False,3,0.3,0.3,0.3
1000047,101243502533,commercial jail,10.0,,0,0,2–4,,< 1 minute,20 - 30 minutes,None,Board Game|Strategic thought,False,True,False,3,0.3,0.3,0.3
1000122,103007225195,successful ink,12.99,,0,0,2 to 6,,7 minutes,60–180 minutes,"Limited, no dice used in combat",Board Game|Strategic thinking,False,False,False,3,0.3,0.3,0.3
1000134,182378779835,mathematical passion,10.0,,0,Early 1970s,2 to 6,,0,0,"Mid (dice, card-drawing, luck)",Board Game,True,False,False,4,0.1,0.1,0.1
1000170,191211760776,urgent philippines,35.0,,0,0,2 to 6,,10-15 minutes,120+ minutes,Medium,Board Game,False,False,False,3,0.3,0.3,0.3
1000211,132132079206,prominent brazil,15.0,,0,0,2–6 (teams allowed),,5 minutes,~120 minutes (varies widely),,Board Game,True,True,False,3,0.3,0.3,0.3
1000083,144191903595,socialist league,25.0,,0,0,2–6,,1–5 minutes,16–60 minutes,"High (dice rolling, luck)",Board Game,False,False,False,4,0.1,0.1,0.1
1000040,175203595001,tame crib,8.99,,0,0,2,,Negligible,30 minutes,None,Board Game,False,False,False,4,0.1,0.1,0.1
1000097,177419070843,missing arithmetic,33.99,,0,0,2–3 players or teams,,3 minutes,30–90 minutes,Low,Board Game,False,False,False,4,0.1,0.1,0.1
1000214,185509202673,previous sponge,8.99,,0,0,2–6,,1-5 minutes,30-60 minutes,Very low,Board Game|Abstract strategy,True,False,False,4,0.1,0.1,0.1
1000062,182295756397,necessary folder,4.5,,Since c. 1896,0,2–4,,0,< 120 min,,Board Game,False,True,False,2,0.75,0.75,0.75
1000005,174806769756,ridiculous black,24.95,,0,0,2,,< 1 minute,~15 minutes,None,Board Game,False,False,False,3,0.3,0.3,0.3
1000094,199675199122,comfortable mice,35.0,,0,0,0,,0,0,,Board Game,False,False,False,4,0.1,0.1,0.1
1000158,167278170034,grieving shrimp,35.0,,0,0,2 to 4 (2 to 6 on reverse side),,1 minute,about 30 minutes,,Board Game|Board game,True,False,False,4,0.1,0.1,0.1
1000187,140424601038,outdoor fiber,8.99,,0,0,3–6,,5–15 minutes,1 hour (player dependent),initial set-up,Board Game,True,False,True,1,1.0,1.0,1.0
1000029,134298570951,mixed lout,24.95,,0,0,2–4,,2–6 minutes,0,Medium (letters drawn),Board Game,False,False,False,4,0.1,0.1,0.1
1000070,165815136827,popular broom,33.99,,0,0,0,,0,0,,Board Game,False,False,False,4,0.1,0.1,0.1
1000077,159944198106,visible swan,12.99,,1991—,0,2–10,,5 minutes,60+ minutes,Some,Board Game,False,True,False,3,0.3,0.3,0.3
1000016,146070777397,aggregate crystallography,15.0,,0,0,2,,1 minute,35 minutes,,Board Game,True,False,False,3,0.3,0.3,0.3
1000117,107696280698,ugliest dependent,19.99,,0,0,3 to 8,,0,20 minutes,,Board Game,False,False,False,4,0.1,0.1,0.1
1000157,169231592649,colossal ping,8.99,,0,0,3 to 6,,0,60 minutes,,Board Game,False,False,False,4,0.1,0.1,0.1
1000161,125151848280,correct footrest,9.99,,0,0,2–6,,5–15 minutes,Approximately 1.5–3 hours,,Board Game|Calculation,False,True,False,2,0.75,0.75,0.75
1000254,170924856617,mathematical program,24.95,,0,0,2–4,,1–5 minutes,0,High (Cards),Board Game,False,False,False,4,0.1,0.1,0.1
1000140,164091776512,secure circumference,24.95,,0,0,1-4,,1 minute,45 minutes,Medium,Board Game|Strategic thought,False,False,False,4,0.1,0.1,0.1
1000182,158374508511,fluffy particle,33.99,,0,0,2-4,,1 minutes,45 minutes,Medium,Board Game|Strategic thought,True,False,True,1,1.0,1.0,1.0
1000203,192291742391,rival briefs,12.99,,0,0,2–4,,5 minutes,90 minutes,Low,Board Game|Strategy,False,True,False,2,0.75,0.75,0.75
1000266,188560428271,massive example,33.99,,0,0,0,,0,0,,Board Game,True,False,False,4,0.1,0.1,0.1
1000027,134548331917,mammoth shortwave,24.95,,"First documented in the 1800s, possibly played in the 1600s. Fallen somewhat out of use after the 1950s.",0,2,,30 seconds - 1 minute,5–60 minutes,,Board Game,False,True,True,1,1.0,1.0,1.0
1000180,126181976561,minor laundry,35.0,,0,0,2 or more,,<5 minutes,15 to 45 minutes,None,Board Game,False,True,False,4,0.1,0.1,0.1
1000205,172134788074,different digital,10.0,,0,"1999, 2008","4 or more, played in teams",,2 minutes,60 minutes,Little,Board Game|General knowledge,False,False,False,3,0.3,0.3,0.3
1000212,186039156892,delicate forest,25.0,,0,0,2–4,,1 minutes,~30 minutes,,Board Game,False,False,False,4,0.1,0.1,0.1
1000093,181818922951,wonderful flute,12.99,,2006–present,0,2–4 teams,,5 minutes,45 minutes,,Board Game,True,False,False,4,0.1,0.1,0.1
1000249,149177507748,varied slope,24.95,,0,0,2 to 4,,< 5 minutes,< 10 minutes,Complete,Board Game|Counting,True,False,False,2,0.75,0.75,0.75
1000011,153963643949,gross memory,4.5,,0,0,2,,0,0,None,Board Game,False,False,False,3,0.3,0.3,0.3
1000184,178288386742,ethnic push,4.5,,0,0,3 to 4,,0,0,,Board Game,False,False,False,3,0.3,0.3,0.3
1000051,174121602938,calm pleasure,4.5,,0,0,2 - 6,,2 minutes,30 mins to an hour,Dice rolls,Board Game|Strategy,True,False,False,4,0.1,0.1,0.1
1000119,164310772556,ready quotation,25.0,,0,0,2–4,,10 minutes,60–120 minutes,some,Board Game,False,False,False,4,0.1,0.1,0.1
1000113,114578571494,wet cadet,33.99,,0,0,3–6+ (depending on edition),,5–10 minutes,20–120+ minutes,Medium,Board Game|Prediction,True,False,False,4,0.1,0.1,0.1
1000103,124016555933,sparkling suitcase,33.99,,0,1955,2 to 6,,5-10 minutes,45-90 minutes,Medium,Board Game,False,False,False,3,0.3,0.3,0.3
1000194,105698185919,liable greenhouse,25.0,,0,0,2–4,,1–5 minutes,0,High (Cards),Board Game,True,False,True,1,1.0,1.0,1.0
1000084,120596758697,fatal awareness,10.0,,0,0,1 to 5,,5–10 minutes,30–60 minutes per player,,Board Game,True,True,False,3,0.3,0.3,0.3
1000030,139891051381,shared processing,24.95,,0,0,0,,0,0,,Board Game,False,True,False,3,0.3,0.3,0.3
1000133,133592958882,confident assistance,10.0,,0,0,0,,0,0,,Board Game,False,False,False,2,0.75,0.75,0.75
1000108,182270022756,nasty gene,4.5,,0,0,2-4,,5 minutes,30 minutes,Low,Board Game|Bluffing,False,False,False,2,0.75,0.75,0.75
1000174,182232002232,promising title,15.0,,0,0,2-4,,1-5 minutes,30-45 minutes,Very low,Board Game|Area visualisation,False,True,True,1,1.0,1.0,1.0
1000116,113773167819,strange probation,33.99,,0,2014,2 to 5,,approx. 5 minutes,60 to 120 minutes,,Board Game|Resource management,False,False,False,3,0.3,0.3,0.3
1000230,162871184978,standard duplexer,25.0,,0,0,2–6,,5–10 minutes,1–2 hours,Medium,Board Game,False,True,False,3,0.3,0.3,0.3
1000239,156648609351,distinctive poisoning,8.99,,0,0,1 or more,,< 2 minutes,Usually 5–15 minutes,None,Board Game,False,False,True,1,1.0,1.0,1.0
1000141,143756977645,favourite somewhere,10.0,,0,0,2–4,,10 minutes,90 minutes,Low,Board Game|Strategic thought,True,True,False,3,0.3,0.3,0.3
1000234,181157012321,delightful pool,12.99,,0,0,2-4,,0,0,,Board Game|Eye–hand coordination,False,False,False,4,0.1,0.1,0.1
1000067,135299244875,multiple spy,12.99,,0,2005,4-8,,5 minutes,45-60 minutes,High,Board Game,False,False,False,4,0.1,0.1,0.1
1000110,167517368544,intense queen,33.99,,0,0,0,,5 minutes,15 to 60 minutes,,Board Game|Deduction,False,False,False,4,0.1,0.1,0.1
1000028,189803681270,deep sort,9.99,,0,0,0,,0,0,,Board Game,False,False,False,4,0.1,0.1,0.1
1000137,112259482485,crazy granddaughter,8.99,,0,0,2-4,,1-5 minutes,15-30 minutes,None,Board Game|Path navigation,False,False,False,3,0.3,0.3,0.3
1000202,160486663189,handsome fresco,35.0,,0,0,2–5,,<5 minutes,1-2 Hours,Moderate,Board Game|Strategy,True,False,False,4,0.1,0.1,0.1
1000022,195390517840,calm aperitif,4.5,,1970 to present,0,2,,< 5 minutes,10–30 minutes,None,Board Game,True,False,False,4,0.1,0.1,0.1
1000143,179940230530,outstanding chug,15.0,,0,0,3 to 7,,5 minutes,40 minutes,,Board Game,False,False,False,4,0.1,0.1,0.1
1000054,127471083431,universal notoriety,33.99,,1932-1970s,1932,2–8,,5–15 minutes,Approximately 1.5–3 hours,,Board Game|Negotiation,False,False,False,4,0.1,0.1,0.1
1000250,190230474259,scornful spasm,35.0,,0,0,2–4,,0,10 minutes,Medium,Board Game|Dexterity,True,False,False,3,0.3,0.3,0.3
1000169,105225018102,possible bill,19.99,,0,0,3–5,,0,60-90 minutes,,Board Game,False,False,False,2,0.75,0.75,0.75
1000092,138778257325,retired wrong,12.99,,0,0,0,,0,0,,Board Game,True,False,False,4,0.1,0.1,0.1
1000151,146942511275,collective coal,35.0,,0,1986,3-5,,0,240 minutes / 4 hours,Low,Board Game|economic,False,False,False,2,0.75,0.75,0.75
1000267,179297362462,successive populist,12.99,,0,0,2–6,,2 minutes,10–180 minutes,Medium,Board Game,False,False,False,4,0.1,0.1,0.1
1000069,175288466804,cooperative courage,15.0,,0,0,2–6,,5–15 minutes,30 minutes,,Board Game|Teamwork,False,False,False,3,0.3,0.3,0.3
1000255,132701307689,western scheme,24.95,,0,0,2-4,,2 minutes,30 minutes/random,High (luck),Board Game|Reading/Counting,True,True,True,1,1.0,1.0,1.0
1000081,169218031708,jolly fascia,10.0,,0,0,3-6,,5 minutes,90 minutes,Tile drawing,Board Game|Tile laying,False,False,False,2,0.75,0.75,0.75
